state_code,State,District,City,Population (%)
8,Uttar Pradesh,Jaunpur,,2.25
8,Uttar Pradesh,Sitapur,,2.24
8,Uttar Pradesh,Bareilly,Bareilly,2.23
8,Uttar Pradesh,Gorakhpur,,2.22
8,Uttar Pradesh,Agra,Agra,2.21
8,Uttar Pradesh,Muzaffarnagar,,2.07
8,Uttar Pradesh,Hardoi,,2.05
8,Uttar Pradesh,Kheri,,2.01
8,Uttar Pradesh,Sultanpur,,1.9
8,Uttar Pradesh,Bijnor,,1.84
8,Uttar Pradesh,Aligarh,,1.84
8,Uttar Pradesh,Budaun,,1.84
8,Uttar Pradesh,Varanasi,Varanasi,1.84
8,Uttar Pradesh,Ghazipur,,1.81
8,Uttar Pradesh,Kushinagar,,1.78
8,Uttar Pradesh,Bulandshahr,,1.75
8,Uttar Pradesh,Bahraich,,1.75
8,Uttar Pradesh,Saharanpur,,1.73
8,Uttar Pradesh,Meerut,Meerut,1.72
8,Uttar Pradesh,Gonda,,1.72
8,Uttar Pradesh,Rae Bareli,Rae Bareli,1.7
8,Uttar Pradesh,Bara Banki,,1.63
8,Uttar Pradesh,Ballia,,1.62
8,Uttar Pradesh,Pratapgarh,,1.61
8,Uttar Pradesh,Unnao,,1.56
8,Uttar Pradesh,Deoria,,1.55
8,Uttar Pradesh,Shahjahanpur,,1.5
8,Uttar Pradesh,Mahrajganj,,1.34
8,Uttar Pradesh,Fatehpur,,1.32
8,Uttar Pradesh,Siddharthnagar,,1.28
8,Uttar Pradesh,Mathura,,1.27
8,Uttar Pradesh,Firozabad,Firozabad,1.25
8,Uttar Pradesh,Mirzapur,,1.25
8,Uttar Pradesh,Faizabad,,1.24
8,Uttar Pradesh,Basti,,1.23
8,Uttar Pradesh,Ambedkar Nagar,,1.2
8,Uttar Pradesh,Rampur,,1.17
8,Uttar Pradesh,Mau,,1.1
8,Uttar Pradesh,Balrampur,,1.08
8,Uttar Pradesh,Pilibhit,,1.02
8,Uttar Pradesh,Jhansi,,1
8,Uttar Pradesh,Chandauli,,0.98
8,Uttar Pradesh,Mainpuri,,0.94
8,Uttar Pradesh,Farrukhabad,,0.94
8,Uttar Pradesh,Sonbhadra,,0.93
